Section	Control	Moderate Level 4	Moderate Level 5	Moderate Level 6	High Level 4	High Level 5	High Level 6	Requirement	Related	Parameters
5								SECURITY REQUIREMENTS This section of the CC SRG defines the security requirements for DoD’s use of cloud computing. It covers several areas as follows: • Security requirements for assessing CSOs for the award of a DoD PA and inclusion in the DoD Cloud Service Catalog. • Security requirements for CSP’s/CSOs while hosting DoD missions. • Security requirements for mission owner’s systems/applications using or built on CSOs. NOTICE: All CSP and CSO requirements in this CC SRG apply to all CSPs and CSOs offered to or contracted by the DoD. DoD recognizes that CSOs may be offered by a CSP or an integrator as the prime contractor on a DoD contract. DoD also recognizes that prime contractors may subcontract for multiple CSOs to meet contract capabilities requirements and may subcontract systems maintenance. Therefore, all requirements in this CC SRG apply to all CSOs provided by prime contractors and their subcontractors to include systems maintenance contractors who may have access to CSP customer information or who may have the capability of affecting the security of the CSO. This flow down to subcontractors is also covered in cloud and contractor associated DFARS clauses.		
5.1								DoD Policy Regarding Security Controls DoDI 8500.01 and DoDI 8510.01 require all DoD information systems to be categorized in accordance with CNSSI 1253 and implement a corresponding set of security controls and control enhancements (C/CEs) that are published in NIST SP 800-53, regardless of whether they are National Security Systems (NSS) or non-NSS. DoDI 8500.01, March 14, 2014 2.g(1) (1) All DoD IS and PIT systems will be categorized in accordance with Reference (ci) and will implement a corresponding set of security controls that are published in Reference (cj) regardless of whether they are National Security System (NSS) or non-NSS. (ci) Committee on National Security Systems Instruction 1253, “Security Categorization and Control Selection for National Security Systems,” March 15, 2012, as amended (cj) National Institute of Standards and Technology Special Publication 800-53, “Recommended Security Controls for Federal Information Systems and Organizations,” current edition DoDI 8510.01, March 12, 2014 3. d. All DoD IS and PIT systems must be categorized in accordance with Committee on National Security Systems Instruction (CNSSI) 1253 (Reference (e)), implement a corresponding set of security controls from NIST SP 800-53 (Reference (f)), and use assessment procedures from NIST SP 800-53A (Reference (g)) and DoD-specific assignment values, overlays, implementation guidance, and assessment procedures found on the Knowledge Service (KS). As supporting reference security control documents are updated, DoD’s implementation of these updates will be coordinated through the RMF TAG. Note: “implement a corresponding set of security controls” means as defined by the corresponding 1253 aggregate baseline. The CNSSI 1253 baselines are tailored from the NIST SP 800-53 recommended baselines, as are the FedRAMP baselines. These baselines are a starting point for securing all DoD systems, which can be tailored further to address specific systems and situations. Refer to NIST SP 800-59, Guideline for Identifying an Information System as a National Security System, 29 for a definition of NSS and further information.		
5.1.1								DoD Use of FedRAMP Security Controls The FedRAMP low, moderate and high baselines are a tailored set of C/CEs based on the low, moderate and high baselines recommended in NIST SP 800-53 catalog of security controls. The 15 December 2014 DoD CIO memo regarding Updated Guidance on the Acquisition and Use of Commercial Cloud Computing Services states “FedRAMP will serve as the minimum security baseline for all DoD cloud services.” This SRG uses the FedRAMP moderate baseline at all information ILs and considers the high Baseline at some.		
5.1.1-Impact_level_2								The 2014 DoD CIO memo further states “components may host unclassified DoD information that has been publicly released on FedRAMP approved cloud services”. Using the definitions defined in Section 3.2, IL2 information may be hosted in a CSP that minimally holds a FedRAMP moderate or high PA; subject to compliance with the personnel security requirements outlined in Section 5.6.2, CSP Personnel Requirements and acceptance by the mission owner and the responsible AO. Only FedRAMP moderate or high baseline controls will be assessed for DoD PAs for IL2. DoD provides full reciprocity with FedRAMP moderate and high P-ATOs for DoD IL2. This in no way alleviates the CSP from meeting other security and integration requirements for CSP’s/CSOs as required by the mission owner while hosting DoD IT missions or the mission owner from securing their systems/websites/applications in IL2 CSOs.		
5.1.1-Impact_level_4								The FedRAMP moderate baseline, supplemented with DoD FedRAMP+ C/CEs and other requirements in this SRG, are used to assess CSPs toward awarding a DoD PA at information IL4. An alternate path to a DoD IL4 PA is available due to coordination of the FedRAMP high baseline and DoD IL4 FedRAMP+ C/CE. A FedRAMP high PA will be accepted for a DoD Level 4 PA without additional C/CE assessment, however, assessment of non-C/CE based requirements in this SRG is required.		
5.1.1-Impact_levels_56								The FedRAMP moderate or high baseline, supplemented with DoD FedRAMP+ C/CEs and requirements in this SRG, are used to assess CSPs toward awarding a DoD PA at information IL56. No matter what C/CE baseline is used as the basis for a FedRAMP PA, additional considerations and/or requirements will need to be assessed and approved before a DoD PA can be awarded at IL4/5/6. These considerations and/or requirements can be found throughout this SRG, while a summary can be found in Section 5.1.7, Additional Considerations and/or Requirements for IL4/5 DoD PA Award.		
5.1.2								DoD FedRAMP+ Security Controls/Enhancements DoD FedRAMP+ refers to a tailored baseline of security C/CEs which has been developed for each DoD information IL, except for IL2. These baselines incorporate, but are not limited to, the FedRAMP moderate or high baselines. The FedRAMP+ C/CEs include NIST 800-53 security controls and enhancements not included in the FedRAMP moderate baseline. FedRAMP+ also includes tailored values and selections for most FedRAMP and FedRAMP+ C/CEs which require definition. The FedRAMP+ C/CEs were selected primarily because they address issues such as the advanced persistent threat (APT) and/or insider threat, and because the DoD, unlike the rest of the federal government, must categorize its systems in accordance with CNSSI 1253, use its baselines, and then tailor as needed. The CNSSI 1253 baseline used in support of DoD PAs is based on moderate confidentiality and moderate integrity. It does not include a baseline for availability (categorization designated as MM-x). Availability is addressed in the FedRAMP baseline and may also be addressed by the mission owner in the contract/SLA. The resulting M-M-x baseline was compared to the FedRAMP moderate baseline to derive a tailored set of FedRAMP+ security controls/enhancements for each IL. This comparison indicated that the FedRAMP moderate baseline includes approximately 32 C/CEs that are also contained in the CNSSI 1253 M-M-x baseline, but not in the NIST 800-53 moderate baseline incorporated in both. The comparison also indicated that eighty-eight (88) of the C/CEs in the CNSSI 1253 M-M-x baseline are not in the FedRAMP moderate baseline. These 88 were analyzed for their security benefit in the CSP environment and projected cost if the CSP were required to implement the C/CE. Approximately half were selected for the DoD cloud baselines for assessing CSPs. The number of control enhancements selected varies by IL. More recently, with the development of the FedRAMP high baseline, a portion of the DoD IL4 FedRAMP+ C/CE was accepted for inclusion into the FedRAMP high baseline along with several value adjustments. Table 5-1 provides a listing of the FedRAMP+ C/CEs applicable to each information IL, which includes only three additional base controls. The rest are control enhancements. This table does not include controls added by the classified information or privacy overlays. More information on the assessment of the C/CE in these overlays is provided in the sections following this one. Note: This table does not include the FedRAMP moderate or high baseline C/CEs, tables of which can be obtained from the FedRAMP website on the documents page30.		
5.1.3								Parameter Values for Security Controls and Enhancements Both FedRAMP and the DoD have defined minimum requirements in security controls and enhancement parameters. However, in some circumstances, the specifics of the implementation are left to the CSP and assessed as to whether the implementation is appropriate for the CSO and government. For those controls required by FedRAMP and the DoD, the parameter values are defined in Appendix D - CSP Assessment Parameter Values for PA. Also see Section 5.1.5.2, Effects of the Privacy Overlay on CSPs and Mission Owners for additional parameter guidance.		
5.1.4								National Security Systems (NSS) Although the control baselines for all ILs are based on those from CNSSI 1253, only impact ILs5/6 are designed to accommodate NSS categorized up to M-M-x. NSS-specific C/CEs have been included at these levels along with those required for the slightly higher impact of these systems at the moderate level (short of a full high baseline). Thus, unclassified NSS must be instantiated at Level 5 if a CSO is used. This, however, does not preclude an unclassified nonNSS from operating at Level 5 if the mission/information owner requires the added security.		
5.1.4.1								NSS Level 6 Classified Overlay Applicability Impact level 6 is for classified systems which by definition are NSS. As such and IAW the DoD RMF, all CSOs are subject to the CNSSI 1253 Classified Information Overlay in addition to FedRAMP and FedRAMP+. This overlay is an attachment to Appendix F of the CNSSI 1253 entitled CNSSI 1253F, Attachment 5, Classified Information Overlay. 31 It is available from the CNSS library on the instructions page. This overlay imposes 94 additional C/CEs which must be assessed for a CSP’s CSO Level 6 PA. For all CSOs, there may only be a portion of these C/CEs applicable to the CSP with the balance of the C/CEs being fulfilled by the mission owner. This division of responsibility will be addressed in a future release of this document or in a companion document.		
5.1.5								Personally Identifiable Information (PII)/Protected Health Information (PHI) in the Cloud Personally Identifiable Information (PII) and Protected Health Information (PHI) are categorized as CUI and, as such, PHI and most PII in the cloud must minimally be protected in a Level 4 CSO. Most PII refers to PII categorized as having a moderate or high (and some low not meeting the exception below) confidentiality impact level as determined in accordance with NIST SP 800-122 Guide to Protecting the Confidentiality of Personally Identifiable Information (PII)32. Mission owner PII impact level determinations will be performed as part of the information system’s privacy impact assessment per DoD Instruction 5400.16, “DoD Privacy Impact Assessment (PIA) Guidance”,33 and documented in Section 2.b. of DD Form 2930 “Privacy Impact Assessment (PIA)34. This determination will take into account all relevant factors as presented in Section 3.2 of NIST SP 800-122 and guidance for assessing the risk of harm to individuals potentially affected by a breach in Section E of OMB Memo 17-12, “Preparing for and Responding to a Breach of Personally Identifiable Information"35. Mission Owners will publish, collect, process and store all sensitivity levels of PII in coordination with, and with the approval of, their DoD component’s senior privacy officer or their delegate. 		
5.1.5.1								PII at Level 2 There is a need for some low-confidentiality impact (low sensitivity) PII to be published or collected in commercial CSOs having a Level 2 PA. DoD CIO memo dated 07 August 2019, “Treatment of PII within Level 2 Commercial CSOs for DoD” states that “Level 2 will be the minimum cybersecurity requirement for DoD systems/applications containing low confidentiality impact level PII as determined in accordance with NIST SP 800-122”. Note: A DoD information impact level 2 PA is based on the FedRAMP moderate baseline, thus PII at Level 2 will be protected at the moderate level IAW 32 CFR 2002 Controlled Unclassified Information36. The following requirements are provided for low PII published, collected, stored or processed in commercial CSOs: • Mission owners will only publish, collect, store and process low confidentiality impact (sensitivity) PII in a CSO minimally possessing a FedRAMP Moderate P-ATO listed on the FedRAMP Marketplace and a DoD Level 2 PA, with privacy officer approval. • Mission owner PII impact level determination will consider all relevant factors together; one factor by itself might indicate a low impact level, but another factor might indicate a high impact level, and thus override the first factor. • Prior to authorizing the system, the AO is accountable to review the PIA and ensure that appropriate cyber assessments are performed per DoDI 8510.01 and the CC SRG, and that required CSSP cybersecurity support services are provided per DoDI 8530.01. • Low impact/sensitivity PII, when published or collected in a CSO with a Level 2 PA, must be minimally protected in accordance with NIST SP 800-122 and privacy laws as supported by a FedRAMP Moderate P-ATO, and the low PII overlay of the privacy overlay (see Section 5.1.5.2, CNSSI 1253 Privacy Overlay). Note: Authentication and identification information of privileged users required for the configuration, operation and maintenance of the IL2 CSO and mission owner’s application is exempt from the above requirements providing it is protected as all such information is customarily protected.		
5.1.5.2								CNSSI 1253 Privacy Overlay The CNSSI 1253 Privacy Overlay is an attachment to Appendix F of the CNSSI 1253 entitled CNSSI 1253F, Attachment 6, Privacy Overlay. 37 It is available from the CNSS library on the instructions page. The privacy overlay was developed in accordance with federal privacy requirements found in laws, policies and standards that apply to government agencies, such as the Privacy Act of 1974 38and HIPAA39, leveraging experts and lawyers in both fields. Legal references are included as the basis for all control specifications in the privacy overlay, including whether to select or exclude C/CE as well as the provision of supplemental guidance and control extensions. It is supported by DoD and the IC as well as other federal agencies that are part of the CNSS. The privacy overlay was written by CNSS to protect PII and PHI in NSS, however, many of the requirements on which the overlay specifications are based apply to any federal information system that contains PII or PHI, regardless of whether the system is an NSS or not. All federal agencies including DoD must comply with public laws that apply to the federal government’s collection, use, and maintenance of PII; thus, DoD invokes the CNSS privacy overlay since it is one of the best DoD resources on the subject. This overlay addresses low, moderate and high sensitivity PII and PHI by providing an overlay for each. It invokes most of the 36 privacy-specific C/CEs from NIST SP 800-53 rev4, Appendix J, Privacy Control Catalog and invokes additional C/CEs from the Security Control Catalog. It also modifies many of the already selected C/CEs in the FedRAMP moderate and FedRAMP+ baselines by providing supplemental guidance along with parameter value changes and control extensions. Quantities of additional C/CEs and guidance depend on both the PII sensitivity level and whether the PII meets the definition of PHI. The CNSSI 1253 Privacy Overlay is applicable to all systems and CSOs that process or store PII/PHI for the DoD. The appropriate overlay (L, M, H, PHI) will be applied based on the confidentiality impact determination in the PIA. Mission owners wishing to process or store PII or PHI in a commercial or private CSO must apply the privacy overlay by including the CSO applicable requirements in their contracts and validate compliance for their ATO. 		
5.1.5.3								Effects of the Privacy Overlay on CSPs and Mission Owners To limit the affect the listing of privacy overlay C/CE and their parameter values on the size of the main portion of the CC SRG, this section provides pointers to tables in Appendix E of privacy overlay C/CE in the following categories: • FedRAMP moderate and FedRAMP+ C/CE that are modified through control extensions or altered via implementation guidance or value specifications. These tables also include C/CE that are required by law or regulation: o Table E-1 – FedRAMP M C/CE Modified or Required by Regulation o Table E-2– FedRAMP+ C/CE Modified or Required by Regulation • C/CE not included in the DoD cloud baseline which includes FedRAMP moderate and FedRAMP+ C/CE. This includes some C/CE designated as SLA C/CE as shown in Section 5.1.6, Security Controls/Enhancements to be optionally addressed in the Contract/SLA and some CNSSI 1253 C/CE that were not selected for inclusion in the FedRAMP+ or SLA C/CE sets: o Table E-3 – Privacy Overlay C/CE Not Included In FedRAMP M or FedRAMP+ • C/CE that are in the FedRAMP Moderate and FedRAMP+ C/CE baselines that have parameter values defined by the overlay which may modify the parameter values defined in Table D-1: FedRAMP+ Control/Enhancement Parameter Values for PA Assessment o Table E-4 – PII/PHI Parameter Values for FedRAMP and FedRAMP+ C/CE • C/CE not included in the DoD cloud baseline which includes FedRAMP Moderate and FedRAMP+ C/CE that have parameter values defined by the overlay. o Table E-5 – PII/PHI Parameter Values for C/CE Not Included In FedRAMP M or FedRAMP+ Note: A comparative analysis of the Privacy Overlay C/CE to various other baselines is provided in Appendix F. This comparison provides statistics or counts of C/CE in various categories. This is provided for informational purposes only and may be removed from the final document or a future release of the CC SRG.		
5.1.5.4								CSO Assessment of Privacy Overlay Control/Control Enhancements DISA is not assessing CSOs for privacy. Mission owners are responsible for privacy overlay assessments of the P/SaaS CSOs used and any applications built on I/PaaS.		
5.1.6								Security Controls/Enhancements To Be Optionally Addressed in the Contract/SLA Table 5-1 shows the C/CEs designated for potential inclusion in a mission owner’s contract or service level agreement (SLA) with the CSP if the mission owner feels they need the added security/capability afforded by the C/CE. This is essentially a tailoring in decision for the mission owner to optionally address in the contract or SLA, over and above the FedRAMP and FedRAMP+ C/CEs which must be included by default. The SLA C/CE are CNSSI 1253 MMx C/CE that were not selected as being required as part of the FedRAMP+ C/CE set(s), however, the FedRAMP+ selection working group felt the C/CE had value if the mission owner wanted to add them to their contract. Additionally, it is the mission owner’s responsibility to define any parameter values associated with any added C/CE. Typically, these values would be based on DoD RMF TAG values or CNSSI 1253 values as shown in Table D-2. While these C/CEs generally address system availability, they apply to the availability of information related to continuous monitoring, incident response and other security issues. It must be noted that this listing does not preclude the mission owner from addressing any control or enhancement from any CNSSI 1253 baseline or the NIST SP 800-53 rev4 in the contract/SLA if they need to tailor in the control/enhancement to be provided/met by the CSP to secure their system or application. Assessment and continuous monitoring of compliance with these C/CEs is the responsibility of the mission owner as negotiated with the CSP in attaining and maintaining the mission’s ATO. These C/CEs are not assessed toward the award of a DoD PA at this time.		
5.1.7								Additional Considerations and/or Requirements for L4/5 DoD PA Award The following is a list of considerations and/or requirements that must be assessed or reviewed in addition to or in conjunction with the security control assessments for AO acceptance before a Level 4/5/6 PA will be awarded. The listing may not be all-inclusive, and specific requirements may not have been fully developed at this time. The considerations and/or requirements that DoD will assess include, but are not limited to, the following: • How support for DoD PKI authentication by DoD privileged and non-privileged users is implemented. This is to include the processes and protocols used along with their implementation. o Related CC SRG sections:  5.4, CSP use of DoD Public Key Infrastructure (PKI) and subsections.  5.10.7, Active Directory Integration for Cloud and subsections. • How support for DoD IP addressing will be implemented. o Related CC SRG section:  5.10.4.1, IP Addressing. This consideration addresses any need to route commercial IP addresses across the NIPRNet • CSP Data center locations hosting the CSO for which the PA is to be awarded. o Related CC SRG section:  5.2.1, Jurisdiction/Location Requirements • CSO management/monitoring plane (and/or specific devices/systems) and its integration with the CSP’s corporate network or the general commercial CSO management plane. Note: No specifics are provided regarding this consideration at this time; however, see the next item for related concerns. o Related CC SRG section:  5.10.2.3, Management Plane Connectivity • CSP personnel managing and/or monitoring the CSO infrastructure. This is primarily related to U.S. persons constraints in regard to the previous item. o Related CC SRG section:  5.6.2, CSP Personnel Requirements. • The availability of a private connection capability between the off-premises CSP’s/CSO’s network and DoD networks in support of connections through the boundary cloud access point (BCAP) and meet-me points. o Related CC SRG section:  5.10.1, Cloud Access Point (CAP) and subsections.  5.10.1.1.2, NIPRNet BCAP Meet-Me Points  5.10.1.1.3, CSP Support for BCAP Connectivity • Reliance of the CSO or user experience on internet-based capabilities such as the public DNS or content delivery networks. All such capabilities must be available via the CSO infrastructure and the connections to it via the DISN BCAPs. The CSO must be able to function if DoD limits access to or disconnects from the internet in times of conflict or when the DISN/DODIN is being attacked. Note: No specific requirements other than those noted here are provided. o Related CC SRG section:  5.10.4.2, Domain Name Services (DNS). • Reliance on internet access to reach the CSO management/service-ordering portal or API endpoints from either NIPRNet or from within the CSO. All such access must be via the CAP if from the NIPRNet or must remain on the CSP’s/CSO’s network if from within the CSO. These requirements must be minimally configurable if not inherent. Note: No specific requirements other than those noted here are provided. o Related CC SRG section:  5.10.1, Cloud Access Point (CAP) and subsections. • The protections in place in the CSP’s network and CSO to prevent any internet connection to the CSP’s/CSO’s network and CSO from becoming a back door to the NIPRNet via the private connection through the BCAP. o Related CC SRG section:  5.10.1.1.4, CSP/CSO Network Connectivity to internet and BCAP. • The robustness of the CSP’s required boundary protection (defense-in-depth security/protective measures) implemented between the internet and the CSO for its protection from internet-based threats. This protection is expected to be different depending on whether the CSO is I/PaaS or P/SaaS and whether the Mission Owner has control over their portion of the CSO. o Related CC SRG section:  5.10.3, CSP Service Architecture and subsections. • All other requirements as defined in the rest of this SRG • Other considerations as realized while assessing the CSO or as a result of lessons learned.  		
5.2								Legal Considerations This section deals with legal requirements revolving around the location of DoD information as well as who may have access to it in CSP facilities and CSOs.		
5.2.1								Jurisdiction/Location Requirements Legal jurisdiction over information controls where DoD and U.S. government data can be processed/stored. This is nuanced by the information being on DoD premises. To protect against seizure and improper use by non-U.S. persons and government entities, all data stored and processed by/for the DoD must reside in a facility under the exclusive legal jurisdiction of the U.S. This may include DoD bases on foreign soil depending upon Status of Forces Agreements (SOFAs). CSPs will maintain all government data, that is not physically located on DoD premises, within the 50 States, the District of Columbia, and outlying areas of the U.S. (as defined at FAR 2.10140), unless otherwise authorized by the responsible AO as described in DoDI 8510.01. The contracting officer shall provide written notification to the contractor when the contractor is permitted to maintain government data at a location outside the 50 States, the District of Columbia, and outlying areas of the United States. CSPs will provide the agency a list of the physical locations where the data could be stored at any given time and update that list as new physical locations are added. Additionally, the mission owner and/or contracting officer must review CSP terms and conditions to ensure data stored and processed in U.S. datacenters does not fall under the legal jurisdiction of another country. On-premises CSOs implemented by a DoD or non-DoD CSP which uses a hybrid model employing off-premises CSPs and CSOs to augment the on-premises CSO or by virtually extending the DoD fence-line (DISN boundary) must also meet the location requirements stated here. Note: An exception is made for content delivery networks (CDN) in which non-sensitive DoD data may be cached anywhere in the world. However, when sensitive information is requested through a CDN, the request must be sent back to its storage facility under U.S. jurisdiction for retrieval. Corresponding Security Controls: SA-9(5) 	SA-9 (5)	
5.2.1.1								DoD Off-Premises vs. On-Premises vs. Virtually On-Premises DoD on-premises vs. off-premises relates to the physical or virtual location of a facility or IT infrastructure.		
5.2.1.1-DoD_off-premises								A facility (building/container) or IT infrastructure is off-premises if it is NOT physically or virtually on DoD owned or controlled property (i.e., on-premises). Refer to DoD on-premises and DoD virtually on-premises below.		
5.2.1.1-DoD_on-premises								A facility (building/container) or IT infrastructure is on-premises if it is physically on DoD owned or controlled property. That is, it is within the protected perimeter (walls or “fence line”) of a DoD installation (i.e., base, camp, post, or station (B/C/P/S) or leased commercial space) which is under the direct control of DoD personnel and DoD security policies. DoD on-premises includes DoD data centers, other facilities located on a DoD B/C/P/S, or in a commercial or other government facility (or portions thereof) under the direct control of DoD personnel and DoD security policies. A commercial facility, in this sense, means a building or space leased and controlled by DoD. Such facilities are considered to be within the protected perimeter or “fence line” of a DoD controlled installation or property. Physical facilities may be permanent buildings or portable structures such as transit/shipping containers. An example of the latter might be a shipping container housing a commercial CSP’s infrastructure located adjacent to a core data center and connected to its network as if it were inside the building. DoD CSPs will, and commercial CSPs may (under DoD contract), instantiate their CSO architecture on DoD premises (DoD on-premises). Interconnection with DoD networks will be interoperable IAW engineering requirements that meet cybersecurity guidance and controls. Such implementations will be considered DoD private.		
5.2.1.1-DoD_virtually_on-premises								A DoD private IT and/or CSO infrastructure located in a physically off-premises location (facility) such as a federal government or commercial data center (i.e., facilities under the direct control of non-DoD personnel using non-DoD security policies) may be considered virtually on-premises under specific conditions as listed below. These conditions apply certain physical security controls and extend the DISN accreditation boundary. In essence this construct virtually extends the DoD protected perimeter or “fence line” around the infrastructure. It also places the IT/CSO infrastructure and its management plane in one or more DISN enclaves thus enabling alternative approaches for boundary protection such as using CSO provided infrastructure in lieu of a dedicated DoD ICAP/BCAP. An IT/CSO infrastructure may be considered virtually on-premises under the following conditions: • The CSO infrastructure is DoD private/community and its infrastructure, devices, monitoring/support infrastructure, and management plane are dedicated to it; physically separate from other infrastructure, devices, and network enclaves in the data center. • DISN transport is extended to the CSO’s network enclave(s) supporting the CSO infrastructure, CSO monitoring/support infrastructure, and CSO management plane. • Enclave/datacenter boundary protections are implemented to protect the CSO operational enclave(s) (which may include the CSO monitoring/support infrastructure) IAW DISN enclave boundary or core data center protection requirements. • The CSO infrastructure is managed from one or more enclave(s) dedicated to managing the CSO. This can be done using dedicated workstations in the enclave or remotely using dedicated virtual desktop infrastructure (VDI). • Enclave boundary protections are implemented to protect the dedicated CSO management/monitoring/support enclave(s) IAW DISN enclave boundary protection requirements. • The CSO infrastructure is housed in a physically separate/protected space such as a cage or room (or minimally one or more locked cabinets with closed non-removable sides closing the DoD space) within the commercial data center used to house the DISN network device(s) and CSO infrastructure. Related C/CE: PE-3, PE-3(1)*, PE-3 (4)*, PE4 • This physically separate space is minimally protected as follows: o Physical access to the data center is compliant with all required physical and maintenance personnel access security controls in the FedRAMP moderate or high baseline as appropriate to include but not limited to personnel role-based access control, access auditing, visitor access control and escorting as needed, etc. Related C/CE: MA-5, MA-5(1), PE-2, PE-2 (3)*, PE-3, PE-3(1)*, PE-6, PE-6(1). PE-6(4)*, PE-8, o Physical access to the DoD space is compliant with all required physical and maintenance personnel access security controls in the FedRAMP moderate baseline or high baseline as appropriate (as described above for the data center) and/or appropriate CNSSI 1253 baselines. NOTE: Additional or alternate physical security and personnel controls may be required for facilities housing classified systems. o Personnel access is controlled by an automated entry access control system (AECS) that is token and/or biometric based. This system may be under DoD control or under the control of the facility owner, but must limit access to only authorized individuals, must log/audit all accesses to include the identities of the personnel accessing and departing, and must provide and log alerts for unauthorized accesses and failed attempts. Related C/CE: PE-6, PE-6(1) and PE-6(4)* o Access to the physical space is externally monitored by the facility owner using video cameras and physical intrusion detection system (PIDS) (i.e., intrusion alarm system). Related C/CE: PE-6, PE-6(1), PE-6(3)*, and PE-6(4)* o It is highly recommended that the internal space be monitored by an automated motion activated PIDS and video cameras operated by DoD. In this manner DoD can monitor all physical activities within the space, authorized or unauthorized. Related C/CE: PE-6, PE-6(1), PE-6(2)*, PE-6(3)*, and PE-6(4)*	PE-6,PE-6 (1),PE-6 (2),PE-6 (3),PE-6 (4)	
5.2.2								Cloud Deployment Model Considerations/Separation Requirements The risks and legal considerations in using virtualization technologies further restrict the types of tenants that can obtain cloud services from a virtualized environment on the same physical infrastructure and the types of cloud deployment models (i.e., public, private, community, and hybrid) in which the various types of DoD information may be processed or stored. While shared cloud environments provide significant opportunities for DoD entities, they also present unique risks to DoD data and systems that must be addressed. These risks include exploitation of vulnerabilities in virtualization technologies, interfaces to external systems, APIs, and management systems. These have the potential for providing back door connections and CSP privileged user access to customer’s systems and data. While proper configuration of the virtual and physical environment can mitigate many of these threats, there is still residual risk that may or may not be acceptable to DoD. Legal concerns such as e-discovery and law enforcement seizure of non-government CSP customer/tenant’s data pose a threat to DoD data if it is in the same storage media. Due to these concerns, DoD is currently taking a cautious approach with regard to level 5 information. Infrastructure (as related to cloud services), is the physical hardware (i.e., servers and storage), and the network interconnecting the hardware that supports the cloud service and its virtualization technology (if used). This includes the systems and networks used by the CSP to manage the infrastructure. While the physical space in which this infrastructure is housed is part of the CSP’s infrastructure, this is not a factor in DoD’s separation restrictions except at level 6. Dedicated infrastructure (as related to cloud services) refers to the cloud service infrastructure being dedicated to serving a single customer organization or a specific group of customer organizations (a community). A private cloud service implements dedicated infrastructure to serve one customer organization or community. This SRG considers DoD as the organization which consists of all DoD components. This SRG restricts private cloud for DoD as meaning dedicated infrastructure that serves multiple DoD users and tenants and designates this as a DoD private cloud. DoD private clouds or cloud service offerings may be multi-tenant serving all or some DoD components (DoD community) or may be single tenant serving a single mission. A community cloud service implements dedicated infrastructure to serve a specific group or class of customer organizations. Since the definition of DoD private could also be considered a DoD community cloud, this SRG will use the term DoD private/community. This SRG will also use the term federal government community, meaning dedicated multi-tenant infrastructure that serves both DoD components and mission owners as well as other federal government agencies and their mission owners. Corresponding Security Controls: SC-4	SC-4	
